2020-11-12 06:19:24.765462,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 06:49:25.627369,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 07:19:26.561779,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 07:49:27.395777,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 08:19:28.224450,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 08:49:28.809606,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 09:19:29.668822,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 09:49:30.501910,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 10:19:31.340020,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 10:49:32.035774,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 11:19:32.907993,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 11:49:33.576373,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 12:19:34.471288,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 12:49:35.293883,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 13:19:36.424295,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 13:49:37.278830,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 14:19:38.131999,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 14:49:38.939384,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 15:19:39.648098,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 15:49:40.678647,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 16:19:41.686907,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 16:49:42.449160,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 17:19:43.342338,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 17:49:43.955180,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 18:19:44.991031,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 18:49:45.935987,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 19:19:46.742876,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 19:49:47.582036,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 20:19:48.431109,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 20:49:49.294800,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 20:55:38.041921,T1: S8 IS SO FUN,10.5,1.16,Diamond 4,50 LP,347W,363L
2020-11-12 21:19:50.367253,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 21:25:38.712414,T1: S8 IS SO FUN,10.5,1.16,Diamond 4,50 LP,347W,363L
2020-11-12 21:49:51.272770,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 21:55:39.421816,T1: S8 IS SO FUN,10.5,1.16,Diamond 4,50 LP,347W,363L
2020-11-12 22:19:52.185736,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 22:25:39.927952,T1: S8 IS SO FUN,10.5,1.16,Diamond 4,50 LP,347W,363L
2020-11-12 22:49:53.057538,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 22:55:40.609767,T1: S8 IS SO FUN,10.5,1.03,Diamond 4,74 LP,349W,365L
2020-11-12 23:19:53.949554,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 23:25:41.260596,T1: S8 IS SO FUN,10.5,1.03,Diamond 4,61 LP,349W,366L
2020-11-12 23:49:54.779720,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-12 23:55:41.898992,T1: S8 IS SO FUN,10.5,1.09,Diamond 4,61 LP,349W,366L
2020-11-13 00:19:55.699143,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 00:25:42.760825,T1: S8 IS SO FUN,10.5,1.09,Diamond 4,61 LP,349W,366L
2020-11-13 00:49:56.583806,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 00:55:43.595831,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
